"id_cliente_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"qtd_atendimento";"qtd_ordemservico";"cidade";"contrato"
121932;dia 6;119.9;(Migrado - SKILL.NET) 250_MEGA_VAL_DESC20;8.0;9;4;Luziânia;cancelado
121941;dia 6;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;11;3;Valparaíso de Goiás;cancelado
121973;dia 4;169.9;(Migrado - SKILL.NET) 450_MEGA_VAL_DESC20;8.0;2;1;Valparaíso de Goiás;cancelado
122119;dia 7;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;14;4;Valparaíso de Goiás;cancelado
163515;dia 7;99.9;(Migrado - OBTI) 250MEGA - FTTH - SANTA MARIA;4.0;3;2;Brasília;cancelado
163871;dia 4;99.9;(Migrado - OBTI) 250MEGA - FTTH - SANTA MARIA;7.0;5;0;Brasília;cancelado
164189;dia 6;199.9;(Migrado - OBTI) 600MEGA - FTTH - SANTA MARIA;4.0;1;1;Brasília;cancelado
164249;dia 6;149.9;(Migrado - OBTI) 450MEGA - FTTH - NOVO GAMA;9.0;23;4;Novo Gama;cancelado
164955;dia 4;149.9;(Migrado - OBTI) 450MEGA - FTTH - NOVO GAMA;7.0;10;3;Novo Gama;cancelado
166410;dia 5;119.9;(Migrado - OBTI) 350MEGA - FTTH - OCIDENTAL;3.0;1;0;Valparaíso de Goiás;cancelado
166645;dia 7;199.9;(Migrado - OBTI) 600MEGA - FTTH - NOVO GAMA;8.0;1;0;Novo Gama;cancelado
167429;dia 4;149.9;(Migrado - OBTI) 450MEGA - FTTH - SANTA MARIA;7.0;13;5;Brasília;cancelado
168014;dia 5;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;8.0;23;3;Novo Gama;cancelado
168183;dia 7;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;18;3;Novo Gama;cancelado
168273;dia 5;119.9;(Migrado - OBTI) 350MEGA - FTTH;9.0;24;3;Brasília;cancelado
168292;dia 6;149.9;(Migrado - OBTI) 450MEGA - FTTH - SANTA MARIA;8.0;21;3;Brasília;cancelado
168293;dia 6;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;18;5;Brasília;cancelado
168347;dia 7;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;6;1;Novo Gama;cancelado
168445;dia 10;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;9.0;20;1;Valparaíso de Goiás;cancelado
168450;dia 5;29.9;Telefonia - Lig Facil Residêncial;8.0;4;1;Águas Lindas de Goiás;cancelado
168492;dia 4;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;8.0;12;3;Brasília;cancelado
168504;dia 14;29.9;Telefonia - Lig Facil Residêncial;8.0;3;1;Águas Lindas de Goiás;cancelado
168522;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;9.0;19;1;Brasília;cancelado
168523;dia 5;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;9.0;27;3;Brasília;cancelado
168586;dia 5;119.9;(Migrado - OBTI) PLANO DE INTERNET - 350 MEGA - SANTA MARIA;9.0;8;1;Brasília;cancelado
168650;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;8;2;Águas Lindas de Goiás;cancelado
168661;dia 7;29.9;Telefonia - Lig Facil Residêncial;9.0;12;2;Brasília;cancelado
168773;dia 7;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;8;1;Novo Gama;cancelado
168779;dia 6;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;5;2;Valparaíso de Goiás;cancelado
168790;dia 10;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;17;3;Novo Gama;cancelado
168824;dia 9;169.9;Ti5-Combo-VIP-400-MEGA_DESC20;8.0;16;2;Águas Lindas de Goiás;cancelado
168840;dia 6;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;16;3;Valparaíso de Goiás;cancelado
168859;dia 7;109.9;Ti5-Combo-100-MEGA_DESC10;8.0;6;2;Águas Lindas de Goiás;cancelado
168871;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;5;1;Águas Lindas de Goiás;cancelado
168912;dia 9;169.9;(Migrado - SKILL.NET) 450_MEGA_BRAZ_DESC20;9.0;11;1;Brasília;cancelado
168924;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;21;4;Águas Lindas de Goiás;cancelado
168934;dia 14;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;9.0;2;1;Águas Lindas de Goiás;cancelado
