"cod_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"equipamento";"qtd_atendimento";"qtd_ordemservico";"cod_cidade";"contrato"
365160;5;109.9;3566;3.0;"";6;2;5645;11
365161;11;144.9;3565;3.0;"";30;3;890;95
365167;6;109.9;3566;3.0;"";2;2;890;11
365170;6;109.9;3566;3.0;"{""interface"":""gpon-onu_1\/2\/12:71"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""6273m""}";3;2;1122;11
365178;4;144.9;3565;3.0;"[]";5;2;1104;11
365180;7;144.9;3565;3.0;"";21;2;890;11
365182;4;109.9;3566;5.0;"";2;0;5645;11
365183;9;209.9;3570;3.0;"";10;8;890;9
365185;9;109.9;3566;3.0;"{""onu_type"":""5506-01-A1""}";3;1;915;11
365189;4;144.9;3580;3.0;"";4;1;805;11
365198;7;144.9;3580;7.0;"{""interface"":""gpon-onu_1\/2\/4:30"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""11858m""}";19;2;805;11
365199;9;109.9;3566;3.0;"";2;1;1021;11
365200;7;109.9;3566;3.0;"{""onu_type"":""5506-01-A1""}";17;4;1028;11
365201;4;109.9;3583;3.0;"[]";1;1;805;11
365202;4;109.9;3566;3.0;"{""onu_type"":""unKnown""}";4;2;1047;11
365204;7;144.9;3580;3.0;"";5;1;805;11
365205;4;109.9;3566;3.0;"";6;2;890;11
365207;4;109.9;3583;3.0;"";13;3;805;9
365208;6;144.9;3565;3.0;"";5;2;890;11
365209;4;144.9;3580;3.0;"";7;1;805;11
365211;4;109.9;3566;6.0;"";5;0;928;11
365213;14;109.9;3566;3.0;"";3;1;906;11
365214;7;144.9;3565;3.0;"{""onu_type"":""5506-01-A1""}";6;1;1009;11
365218;5;144.9;3580;3.0;"{""onu_type"":""5506-SFU""}";3;1;805;11
365224;7;109.9;3566;3.0;"";18;3;890;11
365225;6;144.9;3565;3.0;"{""onu_type"":""5506-01-A1""}";10;2;930;11
365228;10;3120.0;4284;7.0;"";0;0;906;9
365230;4;144.9;3580;3.0;"";3;1;805;11
365231;7;109.9;3566;7.0;"{""onu_type"":""5506-01-A1""}";14;0;1047;11
365237;4;109.9;3566;3.0;"";10;2;890;9
365240;9;144.9;3565;3.0;"";20;1;990;95
365249;4;109.9;3583;3.0;"{""onu_type"":""AN5506-SFU""}";3;1;805;11
365252;10;144.9;3565;3.0;"";15;1;906;14
365253;4;109.9;3566;3.0;"";2;2;1074;11
365254;5;89.9;1967;3.0;"";2;1;1074;11
365256;4;144.9;3580;3.0;"[]";6;1;805;11
365259;5;109.9;3566;3.0;"";4;1;1101;14
365262;4;109.9;3583;3.0;"";7;3;805;11
365267;87;109.9;3566;3.0;"";5;3;890;11
365268;5;89.9;4120;3.0;"";5;3;915;11
365276;7;109.9;3583;3.0;"{""onu_type"":""5506-01-A1""}";15;2;805;11
365284;4;179.9;3582;3.0;"";7;2;805;11
365287;6;144.9;3565;8.0;"";40;2;890;11
365288;9;179.9;4072;3.0;"";4;1;2293;11
365289;13;169.9;4141;3.0;"";0;0;805;11
365290;5;179.9;3582;3.0;"";4;2;805;9
365291;14;144.9;3580;3.0;"";26;2;805;9
365292;5;169.9;4141;6.0;"{""interface"":""gpon-onu_1\/2\/3:117"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""2892m"",""ont_rx_power"":-25.228,""rx_signal"":-22.924}";0;0;805;11
365294;4;169.9;4141;6.0;"{""onu_type"":""unKnown""}";1;0;805;11
365296;4;169.9;4141;6.0;"{""onu_type"":""5506-01-A1""}";5;0;805;11
365300;4;169.9;4141;8.0;"{""interface"":""gpon-onu_1\/3\/6:7"",""onu_type"":""ZTE-F601\r"",""state"":""working"",""distance"":""3889m"",""ont_rx_power"":-23.243,""rx_signal"":-16.792}";1;0;805;11
365303;5;169.9;4141;8.0;"{""onu_type"":""5506-01-A1""}";2;0;805;11
