"id_cliente_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"qtd_atendimento";"qtd_ordemservico";"cidade";"contrato"
189374;dia 7;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;8;2;Brasília;servico_habilitado
189375;dia 7;119.9;ALLREDE-DP-E-DF-250MEGA-20DESC;8.0;18;5;Brasília;servico_habilitado
189376;dia 7;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;4;1;Águas Lindas de Goiás;servico_habilitado
189377;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;6;1;Águas Lindas de Goiás;servico_habilitado
189386;dia 5;129.99;ALLREDE-DP-350MEGA-FIBRA_DESC10;8.0;13;2;Águas Lindas de Goiás;servico_habilitado
189388;dia 4;119.9;ALLREDE-DP-250MEGA-20DESC;8.0;5;1;Cidade Ocidental;servico_habilitado
189392;dia 5;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;9;3;Águas Lindas de Goiás;servico_habilitado
189393;dia 4;99.9;(Migrado - teste-allrede) ALLREDE-DP-250MEGA;8.0;6;1;Valparaíso de Goiás;servico_habilitado
189396;dia 4;99.9;(Migrado - teste-allrede) ALLREDE-DP-250MEGA;8.0;8;1;Novo Gama;servico_habilitado
189404;dia 9;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;13;1;Cocalzinho de Goiás;servico_habilitado
189412;dia 4;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;17;2;Águas Lindas de Goiás;servico_habilitado
189435;dia 6;139.9;ALLREDE-DP-E-DF-350MEGA-FIBRA-DESC20;8.0;9;1;Brasília;servico_habilitado
189441;dia 9;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;20;1;Águas Lindas de Goiás;servico_habilitado
189443;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;7;1;Águas Lindas de Goiás;servico_habilitado
189458;dia 7;149.9;(Migrado - teste-allrede) ALLREDE-DP-500MEGA-FIBRA;8.0;20;3;Cidade Ocidental;servico_habilitado
189461;dia 6;149.9;ALLREDE-DP-E-DF-500MEGA-FIBRA;8.0;17;1;Brasília;servico_habilitado
189469;dia 5;99.9;ALLREDE-DP-E-DF-250MEGA;8.0;16;1;Brasília;servico_habilitado
189472;dia 9;169.9;(Migrado - teste-allrede) ALLREDE-DP-500MEGA-FIBRA-20 DESC;8.0;7;1;Padre Bernardo;servico_habilitado
189473;dia 6;169.9;ALLREDE-DP-E-DF-500MEGA-FIBRA_DESC20;8.0;24;4;Brasília;servico_habilitado
189478;dia 7;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;52;3;Valparaíso de Goiás;servico_habilitado
189481;dia 7;119.9;ALLREDE-DP-250MEGA-20DESC;8.0;22;2;Valparaíso de Goiás;servico_habilitado
189482;dia 4;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;6;2;Cocalzinho de Goiás;servico_habilitado
189485;dia 9;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;8.0;10;2;Brasília;servico_habilitado
189489;dia 4;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;11;2;Valparaíso de Goiás;servico_habilitado
189492;dia 5;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;6;1;Águas Lindas de Goiás;servico_habilitado
189498;dia 7;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;6;1;Cocalzinho de Goiás;servico_habilitado
189499;dia 4;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;3;1;Águas Lindas de Goiás;servico_habilitado
189507;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;7.0;7;1;Águas Lindas de Goiás;servico_habilitado
189508;dia 7;119.9;ALLREDE-DP-E-DF-350MEGA-FIBRA;8.0;6;1;Brasília;servico_habilitado
189513;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;6;1;Águas Lindas de Goiás;servico_habilitado
189532;dia 6;169.9;ALLREDE-DP-E-DF-500MEGA-FIBRA_DESC20;8.0;22;5;Brasília;servico_habilitado
189535;dia 7;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;4;1;Águas Lindas de Goiás;servico_habilitado
189537;dia 9;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;6;1;Águas Lindas de Goiás;servico_habilitado
189538;dia 5;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;8;1;Águas Lindas de Goiás;servico_habilitado
189540;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;16;1;Águas Lindas de Goiás;servico_habilitado
189543;dia 6;119.9;ALLREDE-DP-250MEGA-20DESC;8.0;10;2;Valparaíso de Goiás;servico_habilitado
189545;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;6;1;Águas Lindas de Goiás;servico_habilitado
189546;dia 7;159.99;ALLREDE-DP-500MEGA-FIBRA-10DESC;8.0;10;2;Águas Lindas de Goiás;servico_habilitado
189548;dia 5;139.9;ALLREDE-DP-350MEGA-FIBRA_DESC20;8.0;16;2;Valparaíso de Goiás;servico_habilitado
189552;dia 7;0.0;(Migrado - teste-allrede) ALLREDE-DP-500MEGA-FIBRA;8.0;7;3;Cidade Ocidental;servico_habilitado
189559;dia 6;149.9;(Migrado - teste-allrede) ALLREDE-DP-500MEGA-FIBRA;8.0;21;1;Cidade Ocidental;servico_habilitado
189560;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;7;1;Águas Lindas de Goiás;servico_habilitado
189562;dia 4;29.9;Telefonia - Lig Facil Residêncial;8.0;2;1;Águas Lindas de Goiás;servico_habilitado
189572;dia 9;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;5;2;Águas Lindas de Goiás;servico_habilitado
189573;dia 4;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;18;2;Águas Lindas de Goiás;servico_habilitado
189574;dia 6;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;6.0;10;3;Águas Lindas de Goiás;servico_habilitado
189581;dia 4;119.9;ALLREDE-DP-250MEGA-20DESC;8.0;19;7;Águas Lindas de Goiás;servico_habilitado
189584;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;20;2;Águas Lindas de Goiás;servico_habilitado
189586;dia 7;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;12;1;Águas Lindas de Goiás;servico_habilitado
189599;dia 4;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;18;4;Brasília;servico_habilitado
189604;dia 7;119.9;ALLREDE-DP-250MEGA-20DESC;8.0;90;3;Valparaíso de Goiás;servico_habilitado
189623;dia 6;149.9;ALLREDE-DP-E-DF-500MEGA-FIBRA;8.0;7;1;Brasília;servico_habilitado
189625;dia 5;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;10;1;Águas Lindas de Goiás;servico_habilitado
189626;dia 5;119.9;ALLREDE-DP-E-DF-250MEGA-20DESC;8.0;7;1;Brasília;servico_habilitado
189639;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;6;1;Águas Lindas de Goiás;servico_habilitado
189640;dia 7;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;10;2;Brasília;servico_habilitado
189647;dia 5;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;6;1;Brasília;servico_habilitado
189657;dia 5;119.9;Ti5-FIBRA-200-MEGA_DESC20;8.0;7;2;Águas Lindas de Goiás;servico_habilitado
189672;dia 7;119.9;ALLREDE-DP-E-DF-200MEGA-FIBRA-DESC20;8.0;11;1;Brasília;servico_habilitado
189680;dia 7;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;19;1;Águas Lindas de Goiás;servico_habilitado
189697;dia 4;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;5;1;Águas Lindas de Goiás;servico_habilitado
189704;dia 14;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;8.0;12;1;Brasília;servico_habilitado
189706;dia 5;129.99;ALLREDE-DP-350MEGA-FIBRA_DESC10;8.0;3;1;Águas Lindas de Goiás;servico_habilitado
189708;dia 7;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;30;2;Águas Lindas de Goiás;servico_habilitado
189720;dia 6;119.9;ALLREDE-DP-E-DF-250MEGA-20DESC;8.0;13;1;Brasília;servico_habilitado
189737;dia 9;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;8.0;6;1;Águas Lindas de Goiás;servico_habilitado
189752;dia 4;119.9;ALLREDE-DP-200MEGA-FIBRA-DESC20;8.0;2;1;Águas Lindas de Goiás;servico_habilitado
189765;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;8.0;4;1;Águas Lindas de Goiás;servico_habilitado
189773;dia 7;99.9;ALLREDE-DP-E-DF-250MEGA;8.0;11;1;Brasília;servico_habilitado
189784;dia 7;169.9;ALLREDE-DP-400MEGA-FIBRA_DESC20;8.0;4;1;Águas Lindas de Goiás;servico_habilitado
